ID,Name,Alter,Stadt,Beruf,Gehalt,Datum
1,Edmund Dehmel MBA.,30,Lemgo,Designer,41528,2021-05-13
2,Drago Köster-auch Schlauchin,28,Schleiz,Fachinformatiker,41836,2023-06-15
3,Albin Atzler,36,Säckingen,Mathematiker,73576,2020-02-17
4,Micha Caspar-Kade,56,Flöha,Programmierer,78307,2021-05-10
5,Antonino Holsten-Bärer,49,Stendal,Techniker,58290,2022-03-14
6,Hans Dieter Hendriks MBA.,25,Wesel,Programmierer,56067,2023-06-23
7,Ing. Eva-Maria Seidel,39,Crailsheim,Bäcker,63426,2024-03-26
8,Gottlieb Ullmann,22,Grafenau,Winzer,46110,2023-05-10
9,Zoran Süßebier,59,Potsdam,Forstwirt,68590,2020-01-20
10,Falk Fechner,62,Scheinfeld,Winzer,65276,2024-09-28
11,Dipl.-Ing. Roberto Dussen van B.Eng.,60,Tecklenburg,Mathematiker,73488,2022-08-10
12,Dipl.-Ing. Radmila Hölzenbecher,39,Warendorf,Mathematiker,79574,2023-09-02
13,Blanka Carsten,29,Weißenfels,Informatiker,59216,2021-05-15
14,Krista Kramer,42,Kusel,Elektroniker,32316,2021-05-21
15,Andrea Stroh,33,Lübben,Techniker,43895,2022-01-16
16,Reingard Martin-Dobes,18,Königs Wusterhausen,Bäcker,74240,2024-08-16
17,Reginald Hein,23,Säckingen,Altenpfleger,31532,2023-12-19
18,Dipl.-Ing. Karlfried Baum,60,Pößneck,Forstwirt,44485,2023-05-23
19,Christopher Bolzmann-Wagner,47,Pößneck,Polizist,64461,2020-12-04
20,Lidwina Schenk,19,Höxter,Asphaltbauer,66082,2022-04-08
21,Alex Heser-Schinke,55,Bad Kissingen,Bäcker,40542,2023-09-02
22,Ing. Kathi Schweitzer,63,Moers,Mechaniker,45769,2020-06-29
23,Annerose Bender,65,Neustadt am Rübenberge,Designer,41624,2020-05-03
24,Rose Mälzer,34,Main-Höchst,Binnenschiffer,50903,2023-05-16
25,Miguel Weinhage-Schulz,50,Bischofswerda,Binnenschiffer,38432,2023-12-05
26,Timo Killer,51,Sankt Goar,Schornsteinfeger,37712,2021-02-21
27,Frau Dajana Hornich MBA.,45,Roding,Augenoptiker,33164,2024-02-08
28,Cecilia Hermighausen B.A.,44,Luckenwalde,Drogist,66562,2020-08-14
29,Dipl.-Ing. Fernando Sontag MBA.,56,Wetzlar,Mathematiker,54440,2020-10-08
30,Carola Schüler,22,Stollberg,Chemikant,62174,2021-05-28
31,Gerwin Biggen,29,Burglengenfeld,Programmierer,66624,2021-02-14
32,Darko Schenk,48,Mallersdorf,Designer,53565,2022-10-08
33,Hertha Schmidtke,54,Soltau,Friseur,40436,2022-07-26
34,Univ.Prof. Hugo Heydrich,23,Ingolstadt,Designer,45613,2021-12-28
35,Ekrem Weiß,36,Artern,Informatiker,31879,2020-12-21
36,Gert Ruppersberger,42,Grimma,Elektroniker,63747,2021-01-18
37,Emilie Hahn B.A.,50,Apolda,Ausbaufacharbeiter,73457,2023-06-09
38,Dr. Marie-Therese Fischer MBA.,18,Wiedenbrück,Chirurgiemechaniker,32872,2021-01-04
39,Peter-Michael Karz,65,Fürstenwalde,Programmierer,74680,2020-09-16
40,Lidwina Eimer,35,Aachen,Krankenschwester,54761,2021-03-29
41,Brian Röhrdanz,33,Uelzen,Medizininformatiker,67693,2021-09-09
42,Ben Losekann-Stey,48,Waldmünchen,Designer,38162,2021-02-20
43,Ing. Ida Trommler,31,Passau,Winzer,59692,2023-07-19
44,Ing. Anne Oestrovsky B.A.,40,Garmisch-Partenkirchen,Bankkaufmann,76013,2022-02-12
