ID,Name,Alter,Stadt,Beruf,Gehalt,Datum
1,Justus Budig,54,Deggendorf,Medizininformatiker,64020,2023-05-23
2,Prof. Christel Becker,44,Kemnath,Augenoptiker,62804,2020-04-21
3,Gundi Rörricht,18,Waren,Mechaniker,,2023-10-14
4,Tanja Wende B.Eng.,50,Fürstenwalde,Binnenschiffer,,2023-08-19
5,Cäcilia Dörschner,40,Sebnitz,Pilot,,2022-07-06
6,Eva-Marie Barth-Schüler,56,Bogen,Artist,54053,2020-04-13
7,Matthias Briemer,27,Viechtach,Elektroniker,34699,2020-06-19
8,Wolfgang Sontag,63,Apolda,Friseur,73969,2022-02-27
9,Frau Martine Albers,23,Neuruppin,Polizist,73877,2023-08-21
10,Klaas Schulz-Beier,34,Perleberg,Medizininformatiker,,2024-09-25
11,Dittmar Ring,23,Sankt Goar,Informatiker,52492,2024-07-18
12,Marianne Lange,48,Bernburg,Designer,46343,2020-01-20
13,Dr. Marie-Therese Hölzenbecher,41,,Chemikant,41495,2022-01-24
14,Dipl.-Ing. Ulla Hartung B.Sc.,46,Brand,Asphaltbauer,42156,2023-06-28
15,Sofie Hauffer,23,Mallersdorf,Koreanistiker,,2024-06-01
16,Svenja Schuster-Holsten,43,Pegnitz,Schornsteinfeger,56049,2023-08-26
17,Rosmarie Jacob,39,Kassel,Altenpfleger,57452,2022-08-25
18,Hubertine Säuberlich,31,Northeim,Ausbaufacharbeiter,32597,2022-09-27
19,Anto Lindner-Hornig,40,,Fachinformatiker,,2023-01-22
20,Alexandros Junken,28,Stuttgart,Techniker,,2022-07-22
21,Zlatko Stadelmann,38,Eutin,Fachinformatiker,,2020-08-05
22,Gino Henck,44,Hamburg,Elektroniker,,2020-12-17
23,Karl-Jürgen Stumpf,57,München,Bankkaufmann,65943,2023-07-01
24,Margita Stumpf-Junken,48,Demmin,Pfleger,,2023-07-10
25,Isidor Schacht-Zimmer,41,Kitzingen,Polizist,,2022-09-13
26,Ariane Ditschlerin,51,Hannover,Polizist,57188,2023-03-30
27,Traude Jüttner,43,Oschatz,Augenoptiker,38501,2023-01-09
28,Nada Radisch,28,Zerbst,Augenoptiker,67668,2020-11-09
29,Edeltraud Schönland-Kensy,52,,Asphaltbauer,31500,2022-04-23
30,Constanze Jopich-Fechner,60,,Friseur,,2020-06-17
31,Dajana Butte,35,Hildburghausen,Bankkaufmann,42062,2023-05-22
32,Guenther Hesse B.Eng.,30,Torgau,Koreanistiker,,2023-02-28
33,Slawomir Lindner,60,Bersenbrück,Binnenschiffer,,2021-11-03
34,Marlis Mälzer,34,Konstanz,Informatiker,40359,2021-08-22
35,Annamaria van der Dussen,32,Marienberg,Programmierer,52916,2021-02-14
36,Oswin Wende,42,Büsingen am Hochrhein,Florist,,2023-10-19
37,Clemens Mangold-Kensy,44,Havelberg,Schornsteinfeger,,2021-01-09
38,Erhardt Koch,44,Querfurt,Polizist,45237,2022-11-30
39,Hans Jörg Rohleder,34,Mellrichstadt,Elektroniker,36768,2022-06-15
40,Edgar Schuchhardt,31,Beilngries,Schornsteinfeger,,2020-12-02
41,Nicolas Häring B.Sc.,58,,Fleischer,73025,2023-05-20
42,Dipl.-Ing. Gerhard Fiebig,51,Helmstedt,Winzer,,2023-08-17
43,Mareen Jopich,48,Hohenmölsen,Bäcker,,2022-05-28
44,Yvette Speer,53,Wunsiedel,Drogist,65054,2024-08-14
45,Valeska Dussen van,64,Lübz,Arzt,70583,2023-08-07
46,Dorothea Flantz,18,,Koreanistiker,74529,2022-09-18
47,Waltraud Mende B.Eng.,32,Neuss,Florist,37470,2023-08-09
48,Eileen Henk,23,Mainburg,Pilot,39607,2022-02-18
49,Dusan Häring-Wilmsen,38,Augsburg,Chirurgiemechaniker,70331,2020-07-13
50,Nuran Stadelmann,56,Guben,Pilot,72855,2020-01-02
51,Stephen Säuberlich-Aumann,53,Malchin,Artist,36381,2024-08-16
52,Luciano Roskoth,62,Stollberg,Koreanistiker,68977,2021-08-25
53,Dipl.-Ing. Herwig Holt MBA.,39,Werdau,Krankenschwester,,2024-04-21
54,Jost Tröst-Köhler,18,Güstrow,Elektroniker,53495,2024-05-09
55,Concetta Döhn B.A.,46,Celle,Bankkaufmann,,2020-04-28
56,Anny Wernecke MBA.,50,,Polizist,,2023-08-09
57,Zeki Barth,40,Soest,Fachinformatiker,,2024-04-16
58,Tamara Stolze,34,Stade,Bankkaufmann,,2022-08-13
59,Mirko Wohlgemut,22,Hannoversch Münden,Forstwirt,56675,2021-07-16
60,Erdmute Beckmann-Kramer,46,Quedlinburg,Winzer,39650,2020-06-07
61,Gitte Geisler,41,Bautzen,Mechaniker,,2020-08-14
62,Christopher Holt,52,Wolfach,Fachinformatiker,,2024-01-04
63,Stephen Thies B.Eng.,52,,Chirurgiemechaniker,40019,2023-04-10
64,Maria-Luise Bauer,56,Holzminden,Pilot,67432,2020-05-11
65,Dipl.-Ing. Ellinor Vollbrecht B.A.,58,Hünfeld,Designer,70015,2021-08-10
66,Irmela Harloff,34,Schlüchtern,Artist,72538,2020-08-05
67,Heinz-Otto Christoph,52,Geithain,Fachinformatiker,54986,2020-07-30
68,Claus-Dieter Rosenow,27,,Forstwirt,54527,2022-09-01
69,Leonie Haering,18,Hansestadttralsund,Mathematiker,69440,2021-07-01
70,Karl-Otto Jäkel B.A.,42,Jülich,Artist,73830,2022-05-27
71,Gertraut Kruschwitz MBA.,39,Worbis,Drogist,43891,2022-02-25
72,Ekaterina Mies,62,,Krankenschwester,34031,2020-09-19
73,Herr Ilja Hornig MBA.,38,,Techniker,68523,2022-07-08
74,Siegbert Weinhold,33,,Arzt,30390,2024-01-05
75,Frieder Wesack MBA.,38,,Bäcker,,2021-05-23
76,Rolf Wagner,24,,Techniker,,2024-04-30
77,Prof. Corina Bender MBA.,41,Plauen,Bankkaufmann,,2021-08-23
78,Piotr Weimer B.A.,36,Zeulenroda,Koreanistiker,76522,2024-02-15
79,Ottmar Staude,30,Schrobenhausen,Chemikant,54122,2021-10-02
80,Nikolaos Faust B.A.,64,Auerbach,Pfleger,44125,2020-12-30
81,Dipl.-Ing. Abdullah Hamann MBA.,56,,Chirurgiemechaniker,,2023-02-07
82,Mustafa Schleich,45,Weißwasser,Arzt,75956,2020-09-22
83,Jessica Meyer,44,Wanzleben,Informatiker,53752,2023-03-29
84,Klara Sölzer,39,Wertingen,Arzt,74120,2020-08-12
85,Danuta Noack-Lübs,63,Berlin,Techniker,30653,2023-08-12
86,Türkan Ruppert,30,Uffenheim,Designer,57229,2021-01-26
87,Katja Häring,36,,Florist,43828,2023-07-24
88,Anka Radisch,59,Soest,Fleischer,39396,2023-04-07
89,Univ.Prof. Stephan Römer B.Sc.,61,,Programmierer,43180,2024-01-01
90,Dipl.-Ing. Korinna Holzapfel,24,,Fleischer,45155,2023-03-08
91,Margit Kreusel,42,,Ausbaufacharbeiter,57008,2024-07-14
92,Manja Weiß,49,Karlsruhe,Schornsteinfeger,,2022-08-25
93,Christl Vogt,37,Crailsheim,Beamter,47823,2022-07-06
94,Jenny Gute,36,Kelheim,Techniker,78538,2021-07-04
95,Margit Johann,54,Kaiserslautern,Chemikant,58411,2022-05-05
96,Jacob Jockel,36,Euskirchen,Mechaniker,,2023-01-27
97,Liesa Rörricht,65,Rathenow,Krankenschwester,,2023-03-01
98,Hans Peter Aumann,32,Viechtach,Programmierer,,2020-03-06
99,Pauline Dippel,59,,Mathematiker,43719,2021-06-12
100,Karl-Friedrich Trupp,24,Lobenstein,Artist,35649,2023-07-22
101,Rahel Stiffel,25,Moers,Chemikant,,2020-06-11
102,Hans-Henning Spieß,35,Mellrichstadt,Forstwirt,66096,2022-05-31
103,Imelda Eberhardt,45,Sankt Goarshausen,Medizininformatiker,,2023-10-22
104,Petros Gertz,31,Bad Mergentheim,Altenpfleger,,2020-05-30
105,Wladimir Rädel B.Eng.,55,Cloppenburg,Designer,,2020-04-11
106,Serge Gieß,30,Helmstedt,Chirurgiemechaniker,,2020-11-01
107,Univ.Prof. Hilma Wiek,38,Lörrach,Fachinformatiker,,2022-09-29
108,Wencke Mosemann B.Eng.,54,Zerbst,Designer,73605,2022-04-03
109,Jan Gotthard-Jopich,64,Grevesmühlen,Polizist,,2024-07-29
110,Marie-Luise Hövel-Herrmann,33,Rathenow,Bäcker,60082,2021-10-01
111,Ryszard Förster,60,Lüneburg,Chemikant,76454,2021-04-04
112,Marga Meyer,50,Seelow,Binnenschiffer,64622,2024-02-17
113,Greta Hethur,44,Konstanz,Krankenschwester,65971,2023-06-28
114,Benita Schuchhardt,37,Wismar,Krankenschwester,33739,2022-01-28
115,Jost Pruschke,24,Coburg,Polizist,,2021-08-03
116,Fridolin Wagenknecht,42,Parchim,Erzieher,77067,2023-08-18
117,Marija Hübel,26,,Chemikant,61170,2024-08-17
118,Catharina Mosemann,41,Düren,Chemikant,47465,2021-07-30
119,Anika Eimer-Kruschwitz,18,Haldensleben,Arzt,,2022-01-01
120,Ella Kusch-Hörle,29,Parchim,Winzer,59316,2021-12-01
121,Dr. Toralf Dowerg B.Sc.,63,Sternberg,Medizininformatiker,43663,2024-02-09
122,Univ.Prof. Alicja Stoll,50,,Chirurgiemechaniker,60148,2024-01-23
123,Wera Butte,39,Rastatt,Programmierer,69692,2024-04-22
124,Anne-Kathrin Trupp-auch Schlauchin,48,Diepholz,Chirurgiemechaniker,69416,2024-08-17
125,Klothilde Rogner B.Sc.,35,Waren,Chirurgiemechaniker,69833,2024-06-21
126,Jerzy Wohlgemut,30,,Krankenschwester,,2024-05-06
127,Herr Francis Steckel,49,,Pilot,49767,2023-04-03
128,Ehrentraud Flantz B.Eng.,37,Hannover,Forstwirt,,2022-12-28
129,Margret Birnbaum B.Eng.,33,Stadtroda,Programmierer,,2023-10-12
130,Fabienne Sontag,64,Weißwasser,Schornsteinfeger,37950,2020-09-20
131,Raymund Jacob,56,Grevesmühlen,Forstwirt,,2022-10-09
132,Ing. Karl-August Henschel,34,,Drogist,74304,2023-08-23
133,Lucie Christoph B.Sc.,19,Regensburg,Pfleger,44618,2022-08-04
134,Bodo Seifert,46,Germersheim,Programmierer,53814,2024-02-04
135,Ing. Traude Säuberlich MBA.,43,Freital,Fachinformatiker,,2022-05-17
136,Dragica Wilmsen MBA.,22,Cuxhaven,Erzieher,60349,2023-11-27
137,Josefine Blümel,21,,Fachinformatiker,,2022-02-23
138,Sophie Ruppert,40,Hamburg,Krankenschwester,31096,2021-07-14
139,Univ.Prof. Hiltrud Haering,38,,Bankkaufmann,,2020-11-04
140,Univ.Prof. Susana Stadelmann,19,Seelow,Programmierer,37724,2023-11-01
141,Hagen Bähr,50,Schwandorf,Koreanistiker,52381,2022-09-04
142,Mirco Ladeck B.Sc.,52,,Friseur,,2022-10-11
143,Siegrid Jacobi Jäckel-Hornig,56,Dessau,Asphaltbauer,41017,2023-08-19
144,Esther Metz-Mentzel,57,Zossen,Chirurgiemechaniker,57391,2021-05-12
145,Walburga Barth B.A.,35,Melsungen,Fleischer,31624,2023-10-04
146,Margrit Schuchhardt B.Eng.,45,Haldensleben,Winzer,74434,2021-10-05
147,Prof. Simone Bähr B.Sc.,58,Wittenberg,Schornsteinfeger,,2021-08-25
148,Erica Wagenknecht,19,Torgau,Schornsteinfeger,53088,2023-04-22
149,Toralf Kobelt,42,Werdau,Arzt,64193,2023-05-08
150,Andree Seifert,49,Hersbruck,Polizist,41244,2023-03-21
151,Dietmar Kobelt-Gute,30,Stade,Erzieher,37285,2024-08-27
152,Ljiljana Häring B.A.,60,Grafenau,Fachinformatiker,74670,2021-11-04
153,Hans Jürgen Klotz,47,Oranienburg,Forstwirt,,2023-02-24
154,Liesbeth Gröttner,52,,Pfleger,,2020-05-22
155,Sabine Butte-Ring,36,Viersen,Bäcker,,2024-08-11
156,Heinz-Josef Hörle,18,,Programmierer,79621,2020-05-25
157,Annerose Junitz,48,,Pfleger,69429,2024-04-04
158,Heino Kobelt B.Eng.,28,Tecklenburg,Winzer,46902,2022-01-15
159,Türkan Zirme MBA.,64,Kemnath,Beamter,71029,2020-03-09
160,Frau Christa Mülichen B.Eng.,47,,Fachinformatiker,73460,2023-08-08
161,Telse Jähn,65,,Drogist,30788,2024-03-29
162,Antonio Sontag,42,Ludwigsburg,Mathematiker,79840,2023-07-23
163,Ing. Linus Radisch,55,,Schornsteinfeger,,2023-06-16
164,Herrmann Austermühle,27,Wernigerode,Beamter,42899,2022-01-24
165,Frau Viola Bohlander,42,Tirschenreuth,Artist,,2024-06-25
166,Roland Weiß B.A.,28,,Mechaniker,,2021-10-24
167,Brigitta Stey-Mälzer,51,Geithain,Artist,43880,2023-07-10
168,Dipl.-Ing. Heidemarie Reichmann,24,,Mathematiker,,2020-05-13
169,Dipl.-Ing. Andrej Kohl MBA.,54,Steinfurt,Informatiker,39925,2023-01-14
170,Simona Buchholz,40,Heinsberg,Augenoptiker,65472,2023-05-24
171,Achim Bien,42,Grevesmühlen,Designer,52233,2023-07-05
172,Prof. Annelise Jähn,21,Rehau,Beamter,31914,2020-01-20
173,Gundi Ladeck,29,Augsburg,Koreanistiker,76809,2023-11-27
174,Samuel Bruder,22,Wanzleben,Florist,,2023-07-03
175,Heiderose Heser,57,Vilsbiburg,Chemikant,,2023-01-20
176,Dr. Gabriella Hande,57,,Ausbaufacharbeiter,50044,2022-02-14
177,Alf Schäfer,44,Angermünde,Drogist,,2024-04-05
178,Prof. Anna Löffler,59,,Koreanistiker,40986,2024-06-01
179,Otfried Kostolzin B.Eng.,34,Rathenow,Designer,44444,2020-07-20
180,Leander Faust B.Eng.,45,Schmölln,Artist,45443,2021-08-20
181,Timm Löchel B.Eng.,30,Recklinghausen,Beamter,57431,2020-02-24
182,Phillip Putz,28,,Techniker,64350,2023-07-09
183,Bogdan Häring,58,Lichtenfels,Bankkaufmann,58213,2021-11-01
184,Rouven Henk B.Sc.,21,Norden,Krankenschwester,30223,2023-04-26
185,Sepp Karge,38,Kassel,Beamter,41299,2024-05-21
186,Czeslaw Keudel,64,,Mechaniker,44343,2020-08-25
187,Hannes Hövel-Karge,58,Marienberg,Elektroniker,,2024-04-03
188,Heinz-Wilhelm Holt-Butte,43,Haldensleben,Pfleger,,2020-01-19
189,Marga Klotz,49,,Augenoptiker,,2023-04-22
190,Nicolas Henck,27,Ilmenau,Designer,37074,2023-04-25
191,Franz-Josef Herrmann,64,Eutin,Binnenschiffer,47252,2021-04-06
192,Ria Henschel,36,,Artist,63586,2022-10-29
193,Thea Schweitzer,23,Osterburg,Mathematiker,55773,2023-10-21
194,Hans-Theo Gude-Scholtz,46,Geithain,Medizininformatiker,,2024-09-15
195,Dipl.-Ing. Jakob Barth,32,Osterburg,Arzt,,2021-01-27
196,Marc Eberhardt,19,Mühlhausen,Arzt,48472,2021-03-08
197,Ingrid Kade,36,,Bankkaufmann,30140,2020-09-15
198,Niklas Butte,39,Schwarzenberg,Ausbaufacharbeiter,32366,2021-02-25
199,Arzu Wilmsen,62,Mettmann,Mathematiker,58136,2023-03-05
200,Gabi Weiß B.A.,45,Kleve,Techniker,58442,2020-06-13
